Module                  Size  Used by
mimodulo               12288  0
ccm                    20480  9
rfcomm                102400  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
snd_ctl_led            24576  0
ledtrig_audio          12288  1 snd_ctl_led
snd_hda_codec_realtek   200704  1
xe                   2723840  0
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
nvidia_uvm           2121728  0
drm_gpuvm              45056  1 xe
drm_exec               12288  2 drm_gpuvm,xe
gpu_sched              61440  1 xe
drm_suballoc_helper    16384  1 xe
drm_ttm_helper         12288  1 xe
binfmt_misc            24576  1
snd_sof_pci_intel_tgl    12288  0
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_tgl
soundwire_intel        73728  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               380928  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_sof_utils          16384  1 snd_sof
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_hda_ext_core       32768  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_soc_acpi_intel_match    98304  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
soundwire_generic_allocation    12288  1 soundwire_intel
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_hda_codec_hdmi     94208  2
snd_soc_core          442368  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
nvidia_drm            131072  3
btusb                  77824  0
snd_compress           28672  1 snd_soc_core
ac97_bus               12288  1 snd_soc_core
btrtl                  32768  1 btusb
snd_pcm_dmaengine      16384  1 snd_soc_core
btintel                57344  1 btusb
btbcm                  24576  1 btusb
nvidia_modeset       1724416  3 nvidia_drm
rtw89_8852be           12288  0
snd_hda_intel          61440  2
btmtk                  12288  1 btusb
rtw89_8852b           413696  1 rtw89_8852be
snd_intel_dspcfg       36864  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
uvcvideo              139264  0
snd_hda_codec         204800  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_sof_intel_hda
rtw89_pci              81920  1 rtw89_8852be
intel_uncore_frequency    16384  0
videobuf2_vmalloc      20480  1 uvcvideo
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
uvc                    12288  1 uvcvideo
snd_hda_core          139264  9 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
videobuf2_memops       16384  1 videobuf2_vmalloc
intel_tcc_cooling      12288  0
snd_hwdep              20480  1 snd_hda_codec
bluetooth            1032192  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
videobuf2_v4l2         36864  1 uvcvideo
snd_pcm               192512  11 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
rtw89_core            733184  2 rtw89_8852b,rtw89_pci
x86_pkg_temp_thermal    20480  0
videodev              352256  2 videobuf2_v4l2,uvcvideo
intel_powerclamp       24576  0
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_seq_midi           24576  0
coretemp               24576  0
i915                 4288512  27
ecdh_generic           16384  2 bluetooth
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
nvidia              11640832  32 nvidia_uvm,nvidia_modeset
snd_seq_midi_event     16384  1 snd_seq_midi
mac80211             1744896  2 rtw89_core,rtw89_pci
snd_rawmidi            57344  1 snd_seq_midi
processor_thermal_device_pci    16384  0
processor_thermal_device    20480  1 processor_thermal_device_pci
cmdlinepart            12288  0
kvm_intel             487424  0
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
intel_rapl_msr         20480  0
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
spi_nor               163840  0
processor_thermal_rfim    32768  1 processor_thermal_device
